L_distal,L_fore,L_toInterface,R_distal,R_fore,R_toInterface
1.383757796561913000e-01,7.997927005654308086e-02,-1.315069340916611984e-01,-1.341196358232964458e-01,-3.515134355025529428e-02,6.591528469501792276e-02
1.373857340382493020e-01,7.755671153848718580e-02,-1.340951390659403664e-01,-1.339155956446123064e-01,-3.406260090196323864e-02,6.900578699883845590e-02
1.364283329587339944e-01,7.526192958413920053e-02,-1.365043865458316907e-01,-1.337793135666977551e-01,-3.304908604245199860e-02,7.207183764256591685e-02
1.355001840451687534e-01,7.309434090732165601e-02,-1.387364832976131224e-01,-1.337071314543164524e-01,-3.209968980343168993e-02,7.510594439456172444e-02
1.345980750937553760e-01,7.105291999549873116e-02,-1.407938317865334577e-01,-1.336956025596722497e-01,-3.120433645818627977e-02,7.810099822563909555e-02
1.337189782554673023e-01,6.913623645328204059e-02,-1.426793726894194370e-01,-1.337414826103125731e-01,-3.035392122459100797e-02,8.105029226831492184e-02
1.328600513536231376e-01,6.734249330377008180e-02,-1.443965302663447192e-01,-1.338417205820140454e-01,-2.954024678766826659e-02,8.394753674267113608e-02
1.320186495747499300e-01,6.566944446237985011e-02,-1.459491060729616874e-01,-1.339934516494523942e-01,-2.875585520447330665e-02,8.678681757440148692e-02
1.311923188606373969e-01,6.411447071716684654e-02,-1.473412376384259370e-01,-1.341939871553990693e-01,-2.799399299836522262e-02,8.956261000388721083e-02
1.303787801173791894e-01,6.267472826377588901e-02,-1.485773958448450838e-01,-1.344408032145158471e-01,-2.724864436705260254e-02,9.226982424023474905e-02
1.295759230281126051e-01,6.134718403743198711e-02,-1.496623425386824913e-01,-1.347315316626249149e-01,-2.651447337154678660e-02,9.490380846349953659e-02
1.287817989076258107e-01,6.012864995087725123e-02,-1.506010906428400242e-01,-1.350639512517812502e-01,-2.578676869530332691e-02,9.746034908489960291e-02
1.279946128448880283e-01,5.901581570958251005e-02,-1.513988666858316345e-01,-1.354359791337392815e-01,-2.506139120611040536e-02,9.993566850515116229e-02
1.272127153497604746e-01,5.800527993275839123e-02,-1.520610756614790005e-01,-1.358456626625037800e-01,-2.433472445049406768e-02,1.023264206014029842e-01
1.264345936924617941e-01,5.709357936376831255e-02,-1.525932681316090334e-01,-1.362911715373001098e-01,-2.360362813062945320e-02,1.046296841635270120e-01
1.256588601637251001e-01,5.627723351983311695e-02,-1.530011177794023680e-01,-1.367707904597894042e-01,-2.286541581688355043e-02,1.068429647056837462e-01
1.248842079699124669e-01,5.555298137687963989e-02,-1.532904945050761192e-01,-1.372829133460360951e-01,-2.211807227400146292e-02,1.089643097273778477e-01
1.241094427688137630e-01,5.491756688546310661e-02,-1.534673417939080020e-01,-1.378260313480505483e-01,-2.135992204059309826e-02,1.109921767458101338e-01
1.233334743139758438e-01,5.436775831452836383e-02,-1.535376505343390707e-01,-1.383987270801015079e-01,-2.058959432531825770e-02,1.129254189681779957e-01
1.225553083410482469e-01,5.390036549573985758e-02,-1.535074346220484942e-01,-1.389996691304976606e-01,-1.980599047909530411e-02,1.147632698476727525e-01
