L_distal,L_fore,L_toInterface,R_distal,R_fore,R_toInterface
-1.339390979101430833e-05,1.297386023368681036e-05,3.019983075555181715e-07,-1.339519595102696139e-05,1.297531788744680424e-05,3.015146270978573000e-07
-4.012371219280286890e-05,3.899663628527834912e-05,8.751481640221250384e-07,-4.012760917866003453e-05,3.900106086806017994e-05,8.736016601638177343e-07
-8.013330812352131296e-05,7.813328307725081392e-05,1.685694167525156116e-06,-8.014121481930507572e-05,7.814215917242225702e-05,1.682441591153400814e-06
-1.333697805661950844e-04,1.304346010348105900e-04,2.699178110126354373e-06,-1.333831992025786336e-04,1.304493328418620201e-04,2.693539689275880326e-06
-1.997851531896895701e-04,1.959311175670507314e-04,3.883626619304365692e-06,-1.998056323154123260e-04,1.959531741900499293e-04,3.874831278284912138e-06
-2.793332533415042321e-04,2.746455592656388018e-04,5.206356428102703328e-06,-2.793621641898157279e-04,2.746770010630003003e-04,5.193319954976227565e-06
-3.719570307094630926e-04,3.666427972894838682e-04,6.616514099941974004e-06,-3.719950548928136749e-04,3.666874112272396329e-04,6.597324640695812097e-06
-4.775698468753243782e-04,4.720988599411008639e-04,8.017362825519536794e-06,-4.776173785496939830e-04,4.721608842144385445e-04,7.989643214446356690e-06
-5.961268213548260491e-04,5.910282701523736229e-04,9.358666581594716731e-06,-5.961857190984393758e-04,5.911088813874942590e-04,9.321130781189337442e-06
-7.276000079238194914e-04,7.233833122884996076e-04,1.061096042974402702e-05,-7.276721348191603472e-04,7.234839418525924708e-04,1.056219003670088009e-05
-8.719607911693001787e-04,8.691188136695588090e-04,1.174563148253517606e-05,-8.720480213328223864e-04,8.692411231923242694e-04,1.168407162468299491e-05
-1.029179944894975923e-03,1.028191893957497785e-03,1.273489447397490485e-05,-1.029284169004041766e-03,1.028337753996757436e-03,1.265885035473985633e-05
-1.199227684495353602e-03,1.200561745011094646e-03,1.355176607408842004e-05,-1.199350814445906835e-03,1.200733216421139525e-03,1.345940012254751581e-05
-1.382073713953206173e-03,1.386189437313357963e-03,1.417003797394596498e-05,-1.382217686764595534e-03,1.386388754937863208e-03,1.405936756356500548e-05
-1.577687268043068353e-03,1.585037749587000187e-03,1.456424879056070489e-05,-1.577854049111500736e-03,1.585267307952547156e-03,1.443314449056725559e-05
-1.786037150259173678e-03,1.797071018656505289e-03,1.470965485929946660e-05,-1.786228736048221886e-03,1.797333359389114522e-03,1.455583918592299888e-05
-2.007091766929208852e-03,2.022255006999234238e-03,1.458219998984561732e-05,-2.007310187174397940e-03,2.022552807726076072e-03,1.440324662546810053e-05
-2.240819157924523082e-03,2.260556785760638784e-03,1.415848427648759301e-05,-2.241066477419044294e-03,2.260892850293169665e-03,1.395181772752796285e-05
-2.487187024332344377e-03,2.511944631297357167e-03,1.341573205989106900e-05,-2.487465344352233262e-03,2.512321880921299534e-03,1.317862772353488966e-05
-2.746162753415470545e-03,2.776387933562169796e-03,1.233175914199667333e-05,-2.746474212834993604e-03,2.776809399284759210e-03,1.206134375562513450e-05
-3.017713441149284630e-03,3.053857114862093894e-03,1.088493936258222929e-05,-3.018060217290632462e-03,3.054325930488410810e-03,1.057819180908947467e-05
-3.301805912594248972e-03,3.344323557709404440e-03,9.054170644825913330e-06,-3.302190221849844037e-03,3.344842953637952674e-03,8.707923088971042795e-06
-3.598406740333887684e-03,3.647759540649095789e-03,6.818840621854992213e-06,-3.598830838594556120e-03,3.648332838292505514e-03,6.429779952849434238e-06
-3.907482261183204721e-03,3.964138181088600575e-03,4.158791952497507686e-06,-3.907948444101066315e-03,3.964768787838746956e-03,3.723461510230177752e-06
-4.228998591350235578e-03,4.293433384279131231e-03,1.054287436766113735e-06,-4.229509194461295377e-03,4.294124788947477518e-03,5.690889985968455542e-07
-4.562921640213586302e-03,4.635619797705482076e-03,-2.514024963058945459e-06,-4.563479038941701919e-03,4.636375566379355613e-03,-3.052828957209308752e-06
-4.909217122861234649e-03,4.990672770234715235e-03,-6.565147092092960365e-06,-4.909823732422177386e-03,4.991496542498547601e-03,-7.161431096173259626e-06
-5.267850571520150786e-03,5.358568315455350395e-03,-1.111776546162619839e-05,-5.268508846741968947e-03,5.359463800933231270e-03,-1.177553818304489219e-05
-5.638787345992374647e-03,5.739283078709619089e-03,-1.619028590051395578e-05,-5.639499781066023565e-03,5.740254053891626594e-03,-1.691368748145811286e-05
-6.021992643200749055e-03,6.132794307382983222e-03,-2.180086790671628767e-05,-6.022761771373057182e-03,6.133844612703039621e-03,-2.259416694718239084e-05
-6.417431505936453673e-03,6.539079824068897047e-03,-2.796745861039624275e-05,-6.418259899155811382e-03,6.540213361206401177e-03,-2.883504905034988634e-05
-6.825068830890667140e-03,6.958118002273664879e-03,-3.470782626595357768e-05,-6.825959099414365128e-03,6.959338731655033243e-03,-3.565422414495649612e-05
-7.244869376043882800e-03,7.389887744367203658e-03,-4.203959319427066292e-05,-7.245824168014766697e-03,7.391199682846696928e-03,-4.306943330462060853e-05
-7.676797767478628354e-03,7.834368461521114269e-03,-4.998026810167802370e-05,-7.677819768477644156e-03,7.835775680223207307e-03,-5.109830055204401129e-05
-8.120818505674354953e-03,8.291540055406844065e-03,-5.854727770869019144e-05,-8.121910438254605763e-03,8.293046677714710838e-03,-5.975836441352084974e-05
-8.576895971337076055e-03,8.761382901453772590e-03,-6.775799762435149134e-05,-8.578060594544183182e-03,8.762993101130605797e-03,-6.906710873389068737e-05
-9.044994430810797403e-03,9.243877833491127849e-03,-7.762978240975437435e-05,-9.046234539693656304e-03,9.245595832922693172e-03,-7.904199269532679640e-05
-9.525078041112862437e-03,9.739006129618353949e-03,-8.817999477841386932e-05,-9.526396466228244722e-03,9.740836198166685431e-03,-8.970047998587074990e-05
-1.001711085463091559e-02,1.024674949916692078e-02,-9.942603388554915834e-05,-1.001851046154485225e-02,1.024869595162634754e-02,-1.010600670703167464e-04
-1.052105682351528460e-02,1.076709007063258831e-02,-1.113853626650886119e-04,-1.052254051230370330e-02,1.076915726578038870e-02,-1.131383105206603865e-04
-1.103687980379704919e-02,1.130001038047120585e-02,-1.240755341765626503e-04,-1.103845050854773691e-02,1.130220271970603860e-02,-1.259528533683291021e-04
-1.156454355925898118e-02,1.184549336266343955e-02,-1.375142169300792990e-04,-1.156620424757658430e-02,1.184781528872559837e-02,-1.395214504453652334e-04
-1.210401176508368350e-02,1.240352233896477308e-02,-1.517192191622925913e-04,-1.210576543759919917e-02,1.240597833473288530e-02,-1.538619926864195388e-04
-1.265524801130081187e-02,1.297408100976653843e-02,-1.667085120388329142e-04,-1.265709770118673277e-02,1.297667559712595113e-02,-1.689925303673724133e-04
-1.321821580605299362e-02,1.355715344550226936e-02,-1.825002517665632901e-04,-1.322016457854506902e-02,1.355989118428085720e-02,-1.849312952623040492e-04
-1.379287857869808571e-02,1.415272407854093265e-02,-1.991128005989024538e-04,-1.379492953062448103e-02,1.415560956550848508e-02,-2.016967217024278150e-04
-1.437919968276359789e-02,1.476077769551528869e-02,-2.165647467268407976e-04,-1.438135594208206185e-02,1.476381556344292731e-02,-2.193074665274748203e-04
-1.497714239876753520e-02,1.538129943003924485e-02,-2.348749230461587821e-04,-1.497940712411105837e-02,1.538449434681573788e-02,-2.377824279214015685e-04
-1.558666993691846733e-02,1.601427475577324455e-02,-2.540624247996126355e-04,-1.558904631714978437e-02,1.601763142357524872e-02,-2.571407631288293288e-04
-1.620774543970634682e-02,1.665968947980121101e-02,-2.741466260949097095e-04,-1.621023669348157017e-02,1.666321263431475019e-02,-2.774019050535692348e-04
-1.684033198439444101e-02,1.731752973628651257e-02,-2.951471953011218985e-04,-1.684294135973599463e-02,1.732122414597721261e-02,-2.985855777407850375e-04
-1.748439258542174718e-02,1.798778198037804393e-02,-3.170841093315483468e-04,-1.748712335930072137e-02,1.799165244580774176e-02,-3.207118107502530653e-04
-1.813989019672427455e-02,1.867043298234058110e-02,-3.399776668225750094e-04,-1.814274567465225252e-02,1.867448433552813813e-02,-3.438009524300743238e-04
-1.880678771398280186e-02,1.936546982188630875e-02,-3.638485002208910251e-04,-1.880977122961318554e-02,1.936970692571057112e-02,-3.678736821025288713e-04
-1.948504797680393821e-02,2.007287988268703291e-02,-3.887175867946093344e-04,-1.948816289154271450e-02,2.007730763032996441e-02,-3.929510211762618607e-04
-2.017463377084064563e-02,2.079265084704861807e-02,-4.146062585846165905e-04,-2.017788347346657213e-02,2.079727416147680169e-02,-4.190543432028098975e-04
-2.087550782985782630e-02,2.152477069073129023e-02,-4.415362113171568837e-04,-2.087889573615189093e-02,2.152959452421399425e-02,-4.462053828955650004e-04
-2.158763283774794289e-02,2.226922767790109198e-02,-4.695295122975826074e-04,-2.159116239013204180e-02,2.227425701156324211e-02,-4.744262441316137021e-04
-2.231097143050124465e-02,2.302601035619939937e-02,-4.986086073095790305e-04,-2.231464609768591192e-02,2.303125019960786113e-02,-5.037394069612673208e-04
-2.304548619813467231e-02,2.379510755191878782e-02,-5.287963265443612094e-04,-2.304930947477575737e-02,2.380056294270038383e-02,-5.341677336474032417e-04
-2.379113968658316466e-02,2.457650836527467894e-02,-5.601158895851846226e-04,-2.379511509294727004e-02,2.458218436876455359e-02,-5.657344737617860152e-04
-2.454789439955665925e-02,2.537020216576354320e-02,-5.925909094763766316e-04,-2.455202548119523112e-02,2.537610387468235487e-02,-5.984632683655198354e-04
-2.531571280036587837e-02,2.617617858759914429e-02,-6.262453959042620566e-04,-2.532000312779773138e-02,2.618231112175779113e-02,-6.323781533008997072e-04
-2.609455731371954426e-02,2.699442752521941102e-02,-6.611037575195059064e-04,-2.609901048212172683e-02,2.700079603124998229e-02,-6.675035616249874650e-04
-2.688439032749555951e-02,2.782493912885725118e-02,-6.971908034322612429e-04,-2.688900995640233771e-02,2.783154877996891347e-02,-7.038643252145819441e-04
-2.768517419448832811e-02,2.866770380016930853e-02,-7.345317439098905752e-04,-2.768996392749817001e-02,2.867455979592796814e-02,-7.414856755731192087e-04
-2.849687123413426060e-02,2.952271218791736526e-02,-7.731521903097666841e-04,-2.850183473862464428e-02,2.952981975404789586e-02,-7.803932438706838405e-04
-2.931944373421727090e-02,3.038995518369765059e-02,-8.130781542788833530e-04,-2.932458470106715648e-02,3.039731957190762099e-02,-8.206130602499458592e-04
-3.015285395255590251e-02,3.126942391771379837e-02,-8.543360462528833870e-04,-3.015817609587573278e-02,3.127705040553759724e-02,-8.621715524288690435e-04
-3.099706411867356876e-02,3.216110975458974508e-02,-8.969526732864030981e-04,-3.100257117554263211e-02,3.216900364525209638e-02,-9.050955436332958981e-04
-3.185203643545325009e-02,3.306500428921917145e-02,-9.409552362473577692e-04,-3.185773216566428062e-02,3.307317091151707605e-02,-9.494122498909214961e-04
-3.271773308077784853e-02,3.398109934264861853e-02,-9.863713264082691126e-04,-3.272362126658869691e-02,3.398954405085072294e-02,-9.951492767202813148e-04
-3.359411620915727509e-02,3.490938695799155472e-02,-1.033228921466756815e-03,-3.360020065504957382e-02,3.491811513175413495e-02,-1.042334615245600138e-03
-3.448114795334327604e-02,3.584985939637116287e-02,-1.081556381026801267e-03,-3.448743248578791526e-02,3.585887644066981100e-02,-1.090996637770413414e-03
-3.537879042593285867e-02,3.680250913288980047e-02,-1.131382441573521242e-03,-3.538527889316217534e-02,3.681182047796602297e-02,-1.141164092841537043e-03
-3.628700572096111437e-02,3.776732885262332196e-02,-1.182736210972966297e-03,-3.629370199274767339e-02,3.777693995394527243e-02,-1.192866099834854901e-03
-3.720575591548413996e-02,3.874431144663872256e-02,-1.235647162526667129e-03,-3.721266388292601701e-02,3.875422778487534053e-02,-1.246132143093468553e-03
-3.813500307115267468e-02,3.973345000803375771e-02,-1.290145128613377464e-03,-3.814212664646511597e-02,3.974367708904160551e-02,-1.300992065649091362e-03
-3.907470923577709143e-02,4.073473782799732351e-02,-1.346260293946775505e-03,-3.908205235209046002e-02,4.074528118281948302e-02,-1.357476062557065035e-03
-4.002483644488413761e-02,4.174816839188958545e-02,-1.404023188478298843e-03,-4.003240305604806315e-02,4.175903357676599703e-02,-1.415614673872804931e-03
-4.098534672326597378e-02,4.277373537534105014e-02,-1.463464679975036821e-03,-4.099314080365959456e-02,4.278492797172969708e-02,-1.475438777300085548e-03
-4.195620208652182936e-02,4.381143264036974766e-02,-1.524615966299218807e-03,-4.196422763087007124e-02,4.382295825497813796e-02,-1.536979580537797471e-03
-4.293736454259267782e-02,4.486125423151596237e-02,-1.587508567417072591e-03,-4.294562556578847973e-02,4.487311849634243593e-02,-1.600268613352752878e-03
-4.392879609328919494e-02,4.592319437199399168e-02,-1.652174317164169020e-03,-4.393729663022161863e-02,4.593540294437831878e-02,-1.665337719405092162e-03
