L_distal,L_fore,L_toInterface,R_distal,R_fore,R_toInterface
-1.347431822993877537e-01,-2.647234759397884898e-02,9.490219543771429012e-02,1.295096306095273875e-01,6.138477400516484384e-02,-1.496670798687262660e-01
-1.350760580847340797e-01,-2.574281663686743202e-02,9.745639042656545348e-02,1.287158587928471654e-01,6.016459477892053404e-02,-1.506031704615424238e-01
-1.354485390248313104e-01,-2.501562119396295164e-02,9.992929684457199646e-02,1.279289996618629688e-01,5.905018001099111846e-02,-1.513982386757858623e-01
-1.358586714004107465e-01,-2.428714918697522790e-02,1.023175761258180855e-01,1.271474025955389719e-01,5.803812971049816805e-02,-1.520576986001478392e-01
-1.363046238673381316e-01,-2.355426442568276171e-02,1.046183146136174802e-01,1.263695542062873434e-01,5.712498126516016989e-02,-1.525871096466541732e-01
-1.367846801432314741e-01,-2.281429231573091354e-02,1.068290291601309144e-01,1.255940654735216711e-01,5.630726071504125324e-02,-1.529921571819175263e-01
-1.372972327130466408e-01,-2.206522151311508459e-02,1.089477752638534913e-01,1.248196300467314113e-01,5.558170619578772786e-02,-1.532787198949296104e-01
-1.378407713683909019e-01,-2.130538012287716554e-02,1.109730183008439675e-01,1.240450543330895994e-01,5.494506031821525666e-02,-1.534527497140553420e-01
-1.384138774377944581e-01,-2.053340059495809347e-02,1.129036191642876358e-01,1.232692490893611964e-01,5.439408959808391536e-02,-1.535202456051877051e-01
-1.390152183015435639e-01,-1.974818719908682380e-02,1.147388187911503182e-01,1.224912212598101013e-01,5.392560177950684458e-02,-1.534872291597245419e-01
-1.396435421926124076e-01,-1.894888595082835567e-02,1.164782217461512170e-01,1.217100661299228836e-01,5.353646106996554077e-02,-1.533597219038139170e-01
-1.402976732819269656e-01,-1.813485685771447017e-02,1.181217790236913923e-01,1.209249598499771428e-01,5.322360133224710022e-02,-1.531437242614459293e-01
-1.409761332407427903e-01,-1.730432826429444820e-02,1.196688410915033862e-01,1.201364587109545051e-01,5.298089280107801807e-02,-1.528442411543694535e-01
-1.416778477537443959e-01,-1.645692028551566655e-02,1.211197854342067476e-01,1.193439598651681310e-01,5.280532153963775344e-02,-1.524669797821317785e-01
